NPI,Avg_Login_Hour,Total_Surveys
1000000962,6.0,2
1000000963,18.0,4
1000000964,17.0,7
1000000965,12.0,3
1000000966,6.0,6
1000000967,11.0,2
1000000968,11.0,9
1000000969,16.0,8
1000000970,7.0,2
1000000971,13.0,5
1000000972,20.0,10
1000000973,7.0,4
1000000974,19.0,6
1000000975,17.0,5
1000000976,14.0,5
1000000977,15.0,2
1000000978,10.0,9
1000000979,12.0,1
1000000980,7.0,9
1000000981,8.0,0
1000000982,18.0,0
1000000983,10.0,6
1000000984,20.0,0
1000000985,9.0,8
1000000986,8.0,10
1000000987,20.0,7
1000000988,6.0,10
1000000989,16.0,9
1000000990,18.0,4
1000000991,19.0,6
1000000992,20.0,4
1000000993,16.0,9
1000000994,18.0,9
1000000995,11.0,0
1000000996,17.0,8
1000000997,18.0,1
1000000998,17.0,6
1000000999,14.0,2
